"Title","Release Year","Locations","Fun Facts","Production Company","Distributor","Director","Writer","Actor 1","Actor 2","Actor 3","Point","Longitude","Latitude","Analysis Neighborhood","Supervisor District","data_as_of","data_loaded_at"
"Petulia","1968","Cala Foods (California Street and Hyde)",,"Warner Brothers / Seven Arts","Warner Brothers / Seven Arts","Richard Lester","Lawrence B. Marcus","Julie Christie","George C. Scott","Richard Chamberlain","POINT (-122.4178625 37.7907126)","-122.4178625","37.7907126","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"So I Married an Axe Murderer","1993","Vesuvio Café (255 Columbus Avenue)","Jack Kerouac was a regular at the café.","TriStar Pictures","TriStar Pictures","Thomas Schlamme","Robbie Fox","Mike Myers","Nancy Travis",,"POINT (-122.4065082 37.7974835)","-122.4065082","37.7974835","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Invasion of the Body Snatchers","1978","Chinatown","First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.","Solofilm","United Artists","Philip Kaufman","Jack Finney","Donald Sutherland","Jeff Goldblum","Brooke Adams","POINT (-122.4048082 37.7944675)","-122.4048082","37.7944675","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Ant-Man and the Wasp","2018","Saint Louis Alley at Jackson",,"PYM Particles Productions II, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Chris McKenna","Paul Rudd","Evangeline Lilly","Michael Douglas","POINT (-122.4071135 37.7959798)","-122.4071135","37.7959798","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Sweet November","2001","Marquee Lofts (1000 Van Ness Avenue at Alice B. Toklas Place)",,"Warner Bros. Pictures","Warner Bros. Pictures","Pat O'Connor","Paul Yurick","Keanu Reeves","Charlize Theron",,"POINT (-122.420682 37.785098)","-122.420682","37.785098","Tenderloin","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Need For Speed","2014","Powell St. from Geary to Sacramento",,"Need For Speed Productions, LLC","Walt Disney Studios Motion Pictures","Scott Waugh","George Gatins","Aaron Paul","Dominic Cooper","Imogen Poots","POINT (-122.4086079 37.7873909)","-122.4086079","37.7873909","Tenderloin","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Matrix Resurrections","2021","California at Grant Ave",,"Adobe Pictures, Inc.","Warner Brothers","Lana Wachowski","Lana Wachowski, David Mitchell, Aleksander Hemon","Keanu Reeves","Keanu Reeves","Neil Patrick Harris","POINT (-122.4059509 37.7924672)","-122.4059509","37.7924672","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Doctor Dolittle","1998","Larkin & Hyde Streets",,"Twentieth Century Fox Film Cooperation","Twentieth Century Fox Film Cooperation","Betty Thomas","Nat Mauldin","Eddie Murphy","Ossie Davis",,"POINT (-122.420094 37.8042687)","-122.420094","37.8042687","Russian Hill","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The OA Part II","2019","Red's Java House (Pier 30-32, The Embarcadero)",,"Lunar Mining LLC","Netflix","Zal Batmanglij","Zal Batmanglij, Brit Marling","Brit Marling","Emory Cohen","Patrick Gibson","POINT (-122.3874201 37.7872065)","-122.3874201","37.7872065","Financial District/South Beach","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Alive","2020","Embarcadero near Pier 14",,"CBS Corporation - CBS Studios Inc./CBS Television Studios","CBS","Uta Briesewitz","Jason Tracey","Ryan Phillippe","Mageina Tovah","Katrina Law","POINT (-122.3908828 37.7938381)","-122.3908828","37.7938381",,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Murder in the First, Season 2","2015","83 Watchman Way",,"Turner North Center Productions","Turner Network Television (TNT)","Steven Bochcho","Eric Lodal","Taye Diggs","Kathleen Robertson","Ian Anthony Dale","POINT (-122.3951441 37.7558204)","-122.3951441","37.7558204","Potrero Hill","10","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Maltese Falcon","1941","Golden Gate Bridge","With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.","Warner Bros. Pictures","Warner Bros. Pictures","John Huston","John Huston","Humphrey Bogart","Mary Astor","Gladys George","POINT (-122.4785598 37.8199109)","-122.4785598","37.8199109",,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"180","2011","Polk & Larkin Streets",,"SPI Cinemas",,"Jayendra","Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba","Siddarth","Nithya Menon","Priya Anand","POINT (-122.4225306 37.7989333)","-122.4225306","37.7989333","Russian Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Dead Pool","1988","Mirant Energy, LLC (1301 Illinois Street, The Dogpatch)",,"Warner Bros. Pictures","Warner Bros. Pictures","Buddy Van Horn","Harry Julian Fink","Clint Eastwood","Liam Neeson","Patricia Clarkson","POINT (-122.3829866 37.7562813)","-122.3829866","37.7562813","Potrero Hill","10","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"GirlBoss","2017","Various Haight St. Vintage Shops",,"Hippolyta Productions, LLC","Netflix","Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi","Kay Cannon","Britt Robertson","Ellie Reed","Amanda Rea","POINT (-122.4465909 37.7698782)","-122.4465909","37.7698782","Haight Ashbury","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Women is Losers","2020","Laguna Honda Hospital - 375 Laguna Honda Blvd.",,"Look at the Moon Pictures",,"Lissette Feliciano","Lissette Feliciano","Lorenza Izzo","Simu Liu","Liza Weil","POINT (-122.4548745 37.7475379)","-122.4548745","37.7475379","Twin Peaks","7","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Blue Jasmine","2013","5546 Geary Ave",,"Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","POINT (-122.4791515 37.780586)","-122.4791515","37.780586","Outer Richmond","1","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Guess Who's Coming to Dinner","1967","San Francisco International Airport","SFO has a museum dedicated to aviation history.","Columbia Pictures Corporation","Columbia Pictures","Stanley Kramer","William Rose","Spencer Tracy","Sidney Poitier","Katharine Hepburn","POINT (-122.3816274 37.6191145)","-122.3816274","37.6191145",,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"When We Rise","2017","Eureka Arts Center, 4400 20th St.",,"Film 49 Productions","Amercian Broadcasting Company","Gus Van Sant","Dustin Lance Black","Guy Pierce","Mary-Louise Parker","Michael Kenneth Williams","POINT (-122.4370713 37.7577693)","-122.4370713","37.7577693","Castro/Upper Market","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Under the Tuscan Sun","2003","Mecca Restaurant (2029 Market Street)",,"Touchstone Pictures","Buena Vista Pictures","Audrey Wells","Audrey Wells","Diane Lane","Sandra Oh",,"POINT (-122.4274729 37.7683588)","-122.4274729","37.7683588","Castro/Upper Market","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Diary of a Teenage Girl","2015","304 Lily St.",,"Diary the Movie, LLC","Sony Pictures Classics","Marielle Heller","Marielle Heller","Alexander Skarsgard","Kristen Wiig","Christopher Meloni","POINT (-122.4261039 37.7742084)","-122.4261039","37.7742084","Hayes Valley","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Sense8 - Season 2","2016","67-69 Deming St.",,"Unpronounceable Productions, LLC","Netflix","Wachowski Siblings","J. Michael Straczynski, Wachowiski Siblings","Jamie Clayton","Daryl Hannah","Naveen Andrews","POINT (-122.445782 37.760369)","-122.445782","37.760369","Castro/Upper Market","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Play it Again, Sam","1972","Balboa at 22nd Avenue",,"Paramount Pictures","Paramount Pictures","Herbert Ross","Woody Allen","Woody Allen","Diane Keaton","Tony Roberts","POINT (-122.4812701 37.776455)","-122.4812701","37.776455","Outer Richmond","1","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Venom","2018","Embarcadero btwn Folsom and Bryant","Motorcycle/SUV chase scene","L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing","Ruben Fleischer","Jeff Pinkner, Scott Rosenberg","Tom Hardy","Michelle Wiliams","Riz Ahmed","POINT (-122.3895614 37.7904588)","-122.3895614","37.7904588","Financial District/South Beach","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"A View to a Kill","1985","City Hall","The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.","Metro-Goldwyn Mayer","MGM/UA Entertainment Company","John Glen","Richard Maibaum","Roger Moore","Christopher Walken","Tanya Roberts","POINT (-122.4192417 37.779275)","-122.4192417","37.779275","Tenderloin","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance- Season 1 ep103","2016","Laguna Honda Hospital",,"TVM Productions","HULU","Michael Lehmann","Kem Nunn","Hugh Laurie","Gretchen Mol","Ethan Suplee","POINT (-122.4568847 37.7490613)","-122.4568847","37.7490613","Twin Peaks","7","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Freebie and the Bean","1974","Hyatt Regency Hotel (5 Embarcadero Center)",,"Warner Bros. Pictures","American Broadcasting Company (ABC)","Richard Rush","Robert Kaufman","Alan Arkin","James Caan","Loretta Swit","POINT (-122.3956663 37.7942169)","-122.3956663","37.7942169","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"After the Thin Man","1936","Coit Tower","The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.","Metro-Goldwyn Mayer","Metro-Goldwyn Mayer","W.S. Van Dyke","Frances Goodrich","William Powell","Myrna Loy","James Stewart","POINT (-122.4058222 37.8023949)","-122.4058222","37.8023949","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Smile Again, Jenny Lee","2015","Gaspare's Pizza House (5546 Geary Blvd.)",,"Carlo Caldana/Marguery Films",,"Carlo Caldana","Linda Demetrick","Craig Tsuyumine","Puneet Prasad","Larry Kitagawa","POINT (-122.4791515 37.780586)","-122.4791515","37.780586","Outer Richmond","1","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Edtv","1999","1138 Filbert Street",,"Imagine Entertainment","MCA / Universal Pictures","Ron Howard","Lowell Ganz","Matthew McConaughey","Jenna Elfman",,"POINT (-122.4183353 37.8006695)","-122.4183353","37.8006695","Russian Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance- Season 1 ep103","2016","17th and Arkansas",,"TVM Productions","HULU","Michael Lehmann","Kem Nunn","Hugh Laurie","Gretchen Mol","Ethan Suplee","POINT (-122.3987241 37.765027)","-122.3987241","37.765027","Mission Bay","10","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"A Taiwanese Tale of Two Cities","2018","Castro Theatre, 429 Castro St.",,"Envision Productions Inc.","Netflix","Tien-Lun Yeh","Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin","Tammy Cheng","Peggy Tseng","Shen-Hao Wen","POINT (-122.4347365 37.7619917)","-122.4347365","37.7619917","Castro/Upper Market","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"DEVS","2020","Haight Ashbury - Central at Page, Haight at Masonic, Haight at Clayton",,"Minim Productions","FX Network","Alex Garland","Alex Garland","Sonoya Mizuno","Nick Offerman","Jin Ha","POINT (-122.4453615 37.7702175)","-122.4453615","37.7702175","Haight Ashbury","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Vertigo","1958","Conservatory of Flowers (Golden Gate Park)","The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.","Alfred J. Hitchcock Productions","Paramount Pictures","Alfred Hitchcock","Alec Coppel","James Stewart","Kim Novak","Barbara Bel Geddes","POINT (-122.4602558 37.7726187)","-122.4602558","37.7726187","Golden Gate Park","1","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"GirlBoss","2017","Filbert between Leavenworth and Hyde",,"Hippolyta Productions, LLC","Netflix","Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi","Kay Cannon","Britt Robertson","Ellie Reed","Amanda Rea","POINT (-122.4191684 37.8000576)","-122.4191684","37.8000576","Russian Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking","2014","Doc's Clock",,"Mission Street Productions, LLC","Home Box Office (HBO)","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie J. Alvarez","Murray Bartlett","POINT (-122.4188764 37.7583482)","-122.4188764","37.7583482","Mission","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Dead Pool","1988","Portsmouth Square (Chinatown)",,"Warner Bros. Pictures","Warner Bros. Pictures","Buddy Van Horn","Harry Julian Fink","Clint Eastwood","Liam Neeson","Patricia Clarkson","POINT (-122.4052341 37.7948896)","-122.4052341","37.7948896","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Matrix Resurrections","2021","Joe & The Juice, 235 Montgomery",,"Adobe Pictures, Inc.","Warner Brothers","Lana Wachowski","Lana Wachowski, David Mitchell, Aleksander Hemon","Keanu Reeves","Keanu Reeves","Neil Patrick Harris","POINT (-122.4028796 37.7913674)","-122.4028796","37.7913674","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Shang-Chi and the Legend of the Ten Rings","2021","Bush between Hyde and Kearny, Sutter between Hyde and Kearny",,"Freelance Restorations LLC","Disney/Marvel","Destin Daniel Cretton","Dave Callaham, Destin Daniel Cretton, Andrew Lanham","Simu Liu","Tony Chiu-Wai Leung","Awkwafina","POINT (-122.4170528 37.7882309)","-122.4170528","37.7882309","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance- Season 1 ep103","2016","350 Santa Ana Ave.",,"TVM Productions","HULU","Michael Lehmann","Kem Nunn","Hugh Laurie","Gretchen Mol","Ethan Suplee","POINT (-122.4682799 37.7306244)","-122.4682799","37.7306244","West of Twin Peaks","7","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Murder in the First, Season 2","2015","Embarcadero Street at Washington Street",,"Turner North Center Productions","Turner Network Television (TNT)","Steven Bochcho","Eric Lodal","Taye Diggs","Kathleen Robertson","Ian Anthony Dale","POINT (-122.3952588 37.7967391)","-122.3952588","37.7967391","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Murder in the First, Season 2","2015","Treasure Island",,"Turner North Center Productions","Turner Network Television (TNT)","Steven Bochcho","Eric Lodal","Taye Diggs","Kathleen Robertson","Ian Anthony Dale","POINT (-122.3699786 37.825284)","-122.3699786","37.825284","Treasure Island","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Terminator - Genisys","2015","1 Market St. Landmark Building",,"T5 Productions LLC","Paramount Pictures","Alan Taylor","James Cameron","Arnold Schwarzenegger","Jason Clarke",,"POINT (-122.3948203 37.7941767)","-122.3948203","37.7941767","Financial District/South Beach","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance - Season 1 ep105","2016","The Drew School, 2901 California",,"TVM Productions","HULU","Victoria Morrow","Roxann Dawson","Hugh Laurie","Gretchen Mol","Ethan Suplee","POINT (-122.442352 37.787638)","-122.442352","37.787638","Pacific Heights","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking Season 2 ep 208","2015","950 Mason Street",,"Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett","POINT (-122.4100923 37.7923883)","-122.4100923","37.7923883","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Vertigo","1958","Gough & Eddy Streets (Western Addition)",,"Alfred J. Hitchcock Productions","Paramount Pictures","Alfred Hitchcock","Alec Coppel","James Stewart","Kim Novak","Barbara Bel Geddes","POINT (-122.4241318 37.7824801)","-122.4241318","37.7824801","Western Addition","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Woman on the Run","1950","1801 Laguna at Bush",,"Fidelity Pictures Corporation","Universal Pictures","Norman Foster","Norman Foster","Ann Sheridan","Dennis O'Keefe","Robert Keith","POINT (-122.428818 37.787744)","-122.428818","37.787744","Pacific Heights","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Matrix Resurrections","2021","155 California",,"Adobe Pictures, Inc.","Warner Brothers","Lana Wachowski","Lana Wachowski, David Mitchell, Aleksander Hemon","Keanu Reeves","Keanu Reeves","Neil Patrick Harris","POINT (-122.3984911 37.7932242)","-122.3984911","37.7932242","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Guess Who's Coming to Dinner","1967","Mel's Drive-In (Corner South Van Ness & Mission St.)","This restaurant location was demolished; however another Mel's was reopened in 1986 on 3355 Geary Blvd.","Columbia Pictures Corporation","Columbia Pictures","Stanley Kramer","William Rose","Spencer Tracy","Sidney Poitier","Katharine Hepburn","POINT (-122.4044376 37.7840396)","-122.4044376","37.7840396","South of Market","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Star Trek VI: The Undiscovered Country","1991","Golden Gate Bridge","With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.","Paramount Pictures","Paramount Pictures","Nicholas Meyer","Nimoy","William Shatner","Leonard Nimoy","George Takei","POINT (-122.4785598 37.8199109)","-122.4785598","37.8199109",,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance- Season 1 ep104","2016","11 San Jacinto Ave.",,"TVM Productions","HULU","Carl Franklin","Peter Elkoff","Hugh Laurie","Gretchen Mol","Ethan Suplee","POINT (-122.4632436 37.7353289)","-122.4632436","37.7353289","West of Twin Peaks","7","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
